X1 X2 X3 X4 X5
56.2 52.4 27.6 48.4 141.6
50.4 43.1 54.2 48.2 84.2
57.7 55.7 21.5 55.2 103.7
62.7 50.7 28.9 51.5 183.8
53.7 35.5 27.9 46.4 210.5
48.4 43.9 17.8 48.2 142.4
54 36.1 8.2 61.3 133.6
49.2 56.8 44.7 34.8 100.4
46.6 46.7 15.7 42.9 131.3
57 56.9 40.2 59.9 101.5
46 34.2 43.9 53.4 121.3
32.4 36.3 28.8 33.5 55.9
45.8 41.2 44 50.4 103.9
57.6 32.1 21.5 56.2 60.5
60.7 47.1 34 47.4 85.5
48.1 53.7 44.5 51.6 81.4
49.5 32.9 37.7 56.6 222.3
54.2 45.9 36.9 45.6 79.2
36.9 39.3 29 38 106.4
74.3 49.5 41 75.4 169
47.6 39.1 31.3 54.9 133.3
57.3 40.3 25.4 58 90.9
78.5 50.1 32.8 66.7 158.3
56.7 35.9 31.5 51 112.1
48.8 46.7 24.9 53.1 106.2
37 40.7 32.1 41.9 101.6
40.8 31.2 19.7 42.2 62
50.5 44.7 33.7 53.1 98.5
46.2 30 28 54.3 101.1
57.2 46.1 26.4 40.4 95.5
39.7 48 37 30 41.8
68.2 50 3.2 58 227.7
37.3 35.5 37.6 45.5 51.4
55.9 36 22.1 49.1 78.4
43.7 35 17 56 175
37.3 53.7 20.8 44 58.8
52.8 37.8 14.4 45.6 68.6
35.2 39.8 38.2 42.5 46.6
59.1 39.4 33.5 56.3 66.4
59.7 55.4 36.9 49.8 201.1
62.7 43.3 31.3 60 186.2
64.6 34.1 25.1 70.6 186.2
43.9 50.6 48 45.6 110.6
46.4 49 26.8 45 185.3
34.7 37.8 19.9 40.9 43.2
61.3 43.6 24.9 58.5 127.6
45.6 33.6 40 49.9 124.9
51.3 53.6 35.5 45.9 151.7
58.7 51.4 8.2 51.2 186
55.1 47.2 52.6 57.2 242.7
53.7 42.2 38.3 55.7 94.3
37.7 40.1 37.2 42.8 108.8
48.4 41.8 36.4 33.7 67.9
60.9 38.7 40.7 62 189.2
53.6 44.3 24.2 51.6 147.2
60.7 56.8 55.2 49.2 158.4
56.3 52.2 22.5 54.5 81.1
41.7 51.5 35.5 46 103.7
43.1 47.8 36.7 62.9 89.8
49.6 57.2 49.2 45.4 165
55.9 49 27.2 61.9 125.7
56.4 62.2 31.8 49.7 119.4
54.8 45.7 23.6 51.5 71.8
63.7 48.4 -1.5 54.7 100.9
38.5 34.6 14.5 40.4 83.4
25.5 24 59.9 38.3 87
41 43.6 45.4 39.6 100.2
46 41.9 28.7 49.8 93.3
67.2 36.3 42.2 55.3 86.2
45.9 50.6 32.3 50.3 74.1
49.1 53.2 25.6 50.7 88.2
42.5 50.8 31.4 43.7 25.9
41.8 44.1 23.4 44.8 31.3
26.8 45.9 40 47.2 48.5
44.6 61.4 13.4 53.3 -8
60 57.5 25.7 54 89.7
44.5 38.1 33.7 54 81.1
65.1 56.7 40.7 62.4 104.9
42.6 28.3 43.1 44.8 61
43.3 34.8 19 44.2 91.1
38.8 46 30.2 33 50.9
64.7 56.5 22.6 59.4 168.3
52.1 57.2 41.5 50.2 116.9
39.4 46.8 17.7 45.2 129.7
50 32.9 23.3 57.2 136.7
49.8 36.4 46.5 42.5 137.6
63 54 11.7 67.9 97.6
40.1 45.5 33.9 33 87.4
39.5 48.6 29.2 40.9 70.4
60.1 45.8 15 51.2 129.6
56.3 50.2 17.9 45.2 152.1
41 47.7 25 48.6 71.4
67.2 58.3 44.3 60.8 170.8
50.9 47.5 32.7 51.7 117
45.7 46.2 16.4 39.4 143.6
39.5 45.5 38.8 43.1 67.3
31.6 49.4 38.3 38.1 170.5
35 51.5 28.3 43.4 64.2
41.8 44.7 25.3 46.2 61.3
52.2 46.1 47.8 48.8 109.6
